Instancia,Crossover,Mutacao,Inicializacao,Parada,Execucao,Valor Total,Peso Total,Gerações,Tempo
knapsack_1.csv,um_ponto,0.01,aleatoria,fixo,1,973,49,200,0.392
knapsack_1.csv,um_ponto,0.01,aleatoria,fixo,2,973,49,200,0.3812
knapsack_1.csv,um_ponto,0.01,aleatoria,fixo,3,973,49,200,0.3604
knapsack_1.csv,um_ponto,0.01,aleatoria,fixo,4,973,49,200,0.3616
knapsack_1.csv,um_ponto,0.01,aleatoria,fixo,5,973,49,200,0.3783
knapsack_1.csv,um_ponto,0.01,aleatoria,convergencia,1,973,49,20,0.0545
knapsack_1.csv,um_ponto,0.01,aleatoria,convergencia,2,973,49,20,0.0595
knapsack_1.csv,um_ponto,0.01,aleatoria,convergencia,3,973,49,20,0.0631
knapsack_1.csv,um_ponto,0.01,aleatoria,convergencia,4,973,49,20,0.063
knapsack_1.csv,um_ponto,0.01,aleatoria,convergencia,5,973,49,20,0.0665
knapsack_1.csv,um_ponto,0.01,heuristica,fixo,1,973,49,200,0.4104
knapsack_1.csv,um_ponto,0.01,heuristica,fixo,2,973,49,200,0.3699
knapsack_1.csv,um_ponto,0.01,heuristica,fixo,3,973,49,200,0.4279
knapsack_1.csv,um_ponto,0.01,heuristica,fixo,4,973,49,200,0.4489
knapsack_1.csv,um_ponto,0.01,heuristica,fixo,5,973,49,200,0.405
knapsack_1.csv,um_ponto,0.01,heuristica,convergencia,1,973,49,20,0.0476
knapsack_1.csv,um_ponto,0.01,heuristica,convergencia,2,973,49,20,0.0653
knapsack_1.csv,um_ponto,0.01,heuristica,convergencia,3,973,49,20,0.0626
knapsack_1.csv,um_ponto,0.01,heuristica,convergencia,4,973,49,20,0.0627
knapsack_1.csv,um_ponto,0.01,heuristica,convergencia,5,973,49,20,0.0676
knapsack_1.csv,um_ponto,0.05,aleatoria,fixo,1,973,49,200,0.4906
knapsack_1.csv,um_ponto,0.05,aleatoria,fixo,2,973,49,200,0.3959
knapsack_1.csv,um_ponto,0.05,aleatoria,fixo,3,973,49,200,0.4373
knapsack_1.csv,um_ponto,0.05,aleatoria,fixo,4,973,49,200,0.3857
knapsack_1.csv,um_ponto,0.05,aleatoria,fixo,5,973,49,200,0.3741
knapsack_1.csv,um_ponto,0.05,aleatoria,convergencia,1,973,49,20,0.0543
knapsack_1.csv,um_ponto,0.05,aleatoria,convergencia,2,973,49,20,0.0481
knapsack_1.csv,um_ponto,0.05,aleatoria,convergencia,3,973,49,20,0.0554
knapsack_1.csv,um_ponto,0.05,aleatoria,convergencia,4,973,49,20,0.063
knapsack_1.csv,um_ponto,0.05,aleatoria,convergencia,5,973,49,20,0.0664
knapsack_1.csv,um_ponto,0.05,heuristica,fixo,1,973,49,200,0.4074
knapsack_1.csv,um_ponto,0.05,heuristica,fixo,2,973,49,200,0.3781
knapsack_1.csv,um_ponto,0.05,heuristica,fixo,3,973,49,200,0.377
knapsack_1.csv,um_ponto,0.05,heuristica,fixo,4,973,49,200,0.3731
knapsack_1.csv,um_ponto,0.05,heuristica,fixo,5,973,49,200,0.3735
knapsack_1.csv,um_ponto,0.05,heuristica,convergencia,1,973,49,20,0.0527
knapsack_1.csv,um_ponto,0.05,heuristica,convergencia,2,973,49,20,0.0519
knapsack_1.csv,um_ponto,0.05,heuristica,convergencia,3,973,49,20,0.065
knapsack_1.csv,um_ponto,0.05,heuristica,convergencia,4,973,49,20,0.0519
knapsack_1.csv,um_ponto,0.05,heuristica,convergencia,5,973,49,20,0.0634
knapsack_1.csv,um_ponto,0.1,aleatoria,fixo,1,973,49,200,0.4257
knapsack_1.csv,um_ponto,0.1,aleatoria,fixo,2,973,49,200,0.3719
knapsack_1.csv,um_ponto,0.1,aleatoria,fixo,3,973,49,200,0.3824
knapsack_1.csv,um_ponto,0.1,aleatoria,fixo,4,973,49,200,0.378
knapsack_1.csv,um_ponto,0.1,aleatoria,fixo,5,973,49,200,0.3728
knapsack_1.csv,um_ponto,0.1,aleatoria,convergencia,1,973,49,20,0.0651
knapsack_1.csv,um_ponto,0.1,aleatoria,convergencia,2,973,49,20,0.0626
knapsack_1.csv,um_ponto,0.1,aleatoria,convergencia,3,973,49,20,0.065
knapsack_1.csv,um_ponto,0.1,aleatoria,convergencia,4,973,49,20,0.0639
knapsack_1.csv,um_ponto,0.1,aleatoria,convergencia,5,973,49,20,0.0603
knapsack_1.csv,um_ponto,0.1,heuristica,fixo,1,973,49,200,0.4172
knapsack_1.csv,um_ponto,0.1,heuristica,fixo,2,973,49,200,0.4022
knapsack_1.csv,um_ponto,0.1,heuristica,fixo,3,973,49,200,0.3791
knapsack_1.csv,um_ponto,0.1,heuristica,fixo,4,973,49,200,0.3737
knapsack_1.csv,um_ponto,0.1,heuristica,fixo,5,973,49,200,0.3653
knapsack_1.csv,um_ponto,0.1,heuristica,convergencia,1,973,49,20,0.0565
knapsack_1.csv,um_ponto,0.1,heuristica,convergencia,2,973,49,20,0.0557
knapsack_1.csv,um_ponto,0.1,heuristica,convergencia,3,973,49,20,0.0679
knapsack_1.csv,um_ponto,0.1,heuristica,convergencia,4,973,49,20,0.0601
knapsack_1.csv,um_ponto,0.1,heuristica,convergencia,5,973,49,20,0.0645
knapsack_1.csv,dois_pontos,0.01,aleatoria,fixo,1,973,49,200,0.4866
knapsack_1.csv,dois_pontos,0.01,aleatoria,fixo,2,973,49,200,0.4282
knapsack_1.csv,dois_pontos,0.01,aleatoria,fixo,3,973,49,200,0.4238
knapsack_1.csv,dois_pontos,0.01,aleatoria,fixo,4,973,49,200,0.4308
knapsack_1.csv,dois_pontos,0.01,aleatoria,fixo,5,973,49,200,0.4234
knapsack_1.csv,dois_pontos,0.01,aleatoria,convergencia,1,973,49,20,0.0695
knapsack_1.csv,dois_pontos,0.01,aleatoria,convergencia,2,973,49,20,0.0668
knapsack_1.csv,dois_pontos,0.01,aleatoria,convergencia,3,973,49,20,0.0653
knapsack_1.csv,dois_pontos,0.01,aleatoria,convergencia,4,973,49,20,0.0783
knapsack_1.csv,dois_pontos,0.01,aleatoria,convergencia,5,973,49,20,0.0678
knapsack_1.csv,dois_pontos,0.01,heuristica,fixo,1,973,49,200,0.4564
knapsack_1.csv,dois_pontos,0.01,heuristica,fixo,2,973,49,200,0.4261
knapsack_1.csv,dois_pontos,0.01,heuristica,fixo,3,973,49,200,0.4239
knapsack_1.csv,dois_pontos,0.01,heuristica,fixo,4,973,49,200,0.4303
knapsack_1.csv,dois_pontos,0.01,heuristica,fixo,5,973,49,200,0.5505
knapsack_1.csv,dois_pontos,0.01,heuristica,convergencia,1,973,49,20,0.0621
knapsack_1.csv,dois_pontos,0.01,heuristica,convergencia,2,973,49,20,0.0723
knapsack_1.csv,dois_pontos,0.01,heuristica,convergencia,3,973,49,20,0.0683
knapsack_1.csv,dois_pontos,0.01,heuristica,convergencia,4,973,49,20,0.0758
knapsack_1.csv,dois_pontos,0.01,heuristica,convergencia,5,973,49,20,0.0758
knapsack_1.csv,dois_pontos,0.05,aleatoria,fixo,1,973,49,200,0.4857
knapsack_1.csv,dois_pontos,0.05,aleatoria,fixo,2,973,49,200,0.423
knapsack_1.csv,dois_pontos,0.05,aleatoria,fixo,3,973,49,200,0.4305
knapsack_1.csv,dois_pontos,0.05,aleatoria,fixo,4,973,49,200,0.4306
knapsack_1.csv,dois_pontos,0.05,aleatoria,fixo,5,973,49,200,0.4316
knapsack_1.csv,dois_pontos,0.05,aleatoria,convergencia,1,973,49,20,0.0625
knapsack_1.csv,dois_pontos,0.05,aleatoria,convergencia,2,973,49,20,0.0721
knapsack_1.csv,dois_pontos,0.05,aleatoria,convergencia,3,973,49,20,0.076
knapsack_1.csv,dois_pontos,0.05,aleatoria,convergencia,4,973,49,20,0.0793
knapsack_1.csv,dois_pontos,0.05,aleatoria,convergencia,5,973,49,20,0.0701
knapsack_1.csv,dois_pontos,0.05,heuristica,fixo,1,973,49,200,0.4583
knapsack_1.csv,dois_pontos,0.05,heuristica,fixo,2,973,49,200,0.4264
knapsack_1.csv,dois_pontos,0.05,heuristica,fixo,3,973,49,200,0.425
knapsack_1.csv,dois_pontos,0.05,heuristica,fixo,4,973,49,200,0.4292
knapsack_1.csv,dois_pontos,0.05,heuristica,fixo,5,973,49,200,0.4285
knapsack_1.csv,dois_pontos,0.05,heuristica,convergencia,1,973,49,20,0.0672
knapsack_1.csv,dois_pontos,0.05,heuristica,convergencia,2,973,49,20,0.0691
knapsack_1.csv,dois_pontos,0.05,heuristica,convergencia,3,973,49,20,0.0726
knapsack_1.csv,dois_pontos,0.05,heuristica,convergencia,4,973,49,20,0.0733
knapsack_1.csv,dois_pontos,0.05,heuristica,convergencia,5,973,49,20,0.0826
knapsack_1.csv,dois_pontos,0.1,aleatoria,fixo,1,973,49,200,0.4753
knapsack_1.csv,dois_pontos,0.1,aleatoria,fixo,2,973,49,200,0.4449
knapsack_1.csv,dois_pontos,0.1,aleatoria,fixo,3,973,49,200,0.511
knapsack_1.csv,dois_pontos,0.1,aleatoria,fixo,4,973,49,200,0.4586
knapsack_1.csv,dois_pontos,0.1,aleatoria,fixo,5,973,49,200,0.5168
knapsack_1.csv,dois_pontos,0.1,aleatoria,convergencia,1,973,49,20,0.0669
knapsack_1.csv,dois_pontos,0.1,aleatoria,convergencia,2,973,49,20,0.0723
knapsack_1.csv,dois_pontos,0.1,aleatoria,convergencia,3,973,49,20,0.0762
knapsack_1.csv,dois_pontos,0.1,aleatoria,convergencia,4,973,49,20,0.0809
knapsack_1.csv,dois_pontos,0.1,aleatoria,convergencia,5,973,49,20,0.0669
knapsack_1.csv,dois_pontos,0.1,heuristica,fixo,1,973,49,200,0.4479
knapsack_1.csv,dois_pontos,0.1,heuristica,fixo,2,973,49,200,0.4284
knapsack_1.csv,dois_pontos,0.1,heuristica,fixo,3,973,49,200,0.4348
knapsack_1.csv,dois_pontos,0.1,heuristica,fixo,4,973,49,200,0.4349
knapsack_1.csv,dois_pontos,0.1,heuristica,fixo,5,973,49,200,0.4309
knapsack_1.csv,dois_pontos,0.1,heuristica,convergencia,1,973,49,20,0.0634
knapsack_1.csv,dois_pontos,0.1,heuristica,convergencia,2,973,49,20,0.0768
knapsack_1.csv,dois_pontos,0.1,heuristica,convergencia,3,973,49,20,0.0632
knapsack_1.csv,dois_pontos,0.1,heuristica,convergencia,4,973,49,20,0.0768
knapsack_1.csv,dois_pontos,0.1,heuristica,convergencia,5,973,49,20,0.0663
knapsack_1.csv,uniforme,0.01,aleatoria,fixo,1,973,49,200,0.4305
knapsack_1.csv,uniforme,0.01,aleatoria,fixo,2,973,49,200,0.4095
knapsack_1.csv,uniforme,0.01,aleatoria,fixo,3,973,49,200,0.417
knapsack_1.csv,uniforme,0.01,aleatoria,fixo,4,973,49,200,0.4061
knapsack_1.csv,uniforme,0.01,aleatoria,fixo,5,973,49,200,0.4196
knapsack_1.csv,uniforme,0.01,aleatoria,convergencia,1,973,49,20,0.0629
knapsack_1.csv,uniforme,0.01,aleatoria,convergencia,2,973,49,20,0.0687
knapsack_1.csv,uniforme,0.01,aleatoria,convergencia,3,973,49,20,0.0722
knapsack_1.csv,uniforme,0.01,aleatoria,convergencia,4,973,49,20,0.0745
knapsack_1.csv,uniforme,0.01,aleatoria,convergencia,5,973,49,20,0.0668
knapsack_1.csv,uniforme,0.01,heuristica,fixo,1,973,49,200,0.4312
knapsack_1.csv,uniforme,0.01,heuristica,fixo,2,973,49,200,0.4033
knapsack_1.csv,uniforme,0.01,heuristica,fixo,3,973,49,200,0.4089
knapsack_1.csv,uniforme,0.01,heuristica,fixo,4,973,49,200,0.4171
knapsack_1.csv,uniforme,0.01,heuristica,fixo,5,973,49,200,0.4048
knapsack_1.csv,uniforme,0.01,heuristica,convergencia,1,973,49,20,0.0799
knapsack_1.csv,uniforme,0.01,heuristica,convergencia,2,973,49,20,0.0685
knapsack_1.csv,uniforme,0.01,heuristica,convergencia,3,973,49,20,0.0803
knapsack_1.csv,uniforme,0.01,heuristica,convergencia,4,973,49,20,0.0718
knapsack_1.csv,uniforme,0.01,heuristica,convergencia,5,973,49,20,0.0724
knapsack_1.csv,uniforme,0.05,aleatoria,fixo,1,973,49,200,0.4427
knapsack_1.csv,uniforme,0.05,aleatoria,fixo,2,973,49,200,0.4065
knapsack_1.csv,uniforme,0.05,aleatoria,fixo,3,973,49,200,0.4319
knapsack_1.csv,uniforme,0.05,aleatoria,fixo,4,973,49,200,0.4912
knapsack_1.csv,uniforme,0.05,aleatoria,fixo,5,973,49,200,0.4142
knapsack_1.csv,uniforme,0.05,aleatoria,convergencia,1,973,49,20,0.067
knapsack_1.csv,uniforme,0.05,aleatoria,convergencia,2,973,49,20,0.0606
knapsack_1.csv,uniforme,0.05,aleatoria,convergencia,3,973,49,20,0.066
knapsack_1.csv,uniforme,0.05,aleatoria,convergencia,4,973,49,20,0.0693
knapsack_1.csv,uniforme,0.05,aleatoria,convergencia,5,973,49,20,0.0759
knapsack_1.csv,uniforme,0.05,heuristica,fixo,1,973,49,200,0.4324
knapsack_1.csv,uniforme,0.05,heuristica,fixo,2,973,49,200,0.4059
knapsack_1.csv,uniforme,0.05,heuristica,fixo,3,973,49,200,0.41
knapsack_1.csv,uniforme,0.05,heuristica,fixo,4,973,49,200,0.4138
knapsack_1.csv,uniforme,0.05,heuristica,fixo,5,973,49,200,0.4034
knapsack_1.csv,uniforme,0.05,heuristica,convergencia,1,973,49,20,0.076
knapsack_1.csv,uniforme,0.05,heuristica,convergencia,2,973,49,20,0.0755
knapsack_1.csv,uniforme,0.05,heuristica,convergencia,3,973,49,20,0.0707
knapsack_1.csv,uniforme,0.05,heuristica,convergencia,4,973,49,20,0.0718
knapsack_1.csv,uniforme,0.05,heuristica,convergencia,5,973,49,20,0.0717
knapsack_1.csv,uniforme,0.1,aleatoria,fixo,1,973,49,200,0.5547
knapsack_1.csv,uniforme,0.1,aleatoria,fixo,2,973,49,200,0.4056
knapsack_1.csv,uniforme,0.1,aleatoria,fixo,3,973,49,200,0.4577
knapsack_1.csv,uniforme,0.1,aleatoria,fixo,4,973,49,200,0.4088
knapsack_1.csv,uniforme,0.1,aleatoria,fixo,5,973,49,200,0.4038
knapsack_1.csv,uniforme,0.1,aleatoria,convergencia,1,973,49,20,0.0644
knapsack_1.csv,uniforme,0.1,aleatoria,convergencia,2,973,49,20,0.0798
knapsack_1.csv,uniforme,0.1,aleatoria,convergencia,3,973,49,20,0.0845
knapsack_1.csv,uniforme,0.1,aleatoria,convergencia,4,973,49,20,0.0689
knapsack_1.csv,uniforme,0.1,aleatoria,convergencia,5,973,49,20,0.0731
knapsack_1.csv,uniforme,0.1,heuristica,fixo,1,973,49,200,0.453
knapsack_1.csv,uniforme,0.1,heuristica,fixo,2,973,49,200,0.41
knapsack_1.csv,uniforme,0.1,heuristica,fixo,3,973,49,200,0.4124
knapsack_1.csv,uniforme,0.1,heuristica,fixo,4,973,49,200,0.4059
knapsack_1.csv,uniforme,0.1,heuristica,fixo,5,973,49,200,0.4067
knapsack_1.csv,uniforme,0.1,heuristica,convergencia,1,973,49,20,0.0625
knapsack_1.csv,uniforme,0.1,heuristica,convergencia,2,973,49,20,0.0677
knapsack_1.csv,uniforme,0.1,heuristica,convergencia,3,973,49,20,0.0602
knapsack_1.csv,uniforme,0.1,heuristica,convergencia,4,973,49,20,0.0693
knapsack_1.csv,uniforme,0.1,heuristica,convergencia,5,973,49,20,0.0688
knapsack_5.csv,um_ponto,0.01,aleatoria,fixo,1,1354,103,200,0.4426
knapsack_5.csv,um_ponto,0.01,aleatoria,fixo,2,1354,103,200,0.3958
knapsack_5.csv,um_ponto,0.01,aleatoria,fixo,3,1354,103,200,0.4173
knapsack_5.csv,um_ponto,0.01,aleatoria,fixo,4,1354,103,200,0.4267
knapsack_5.csv,um_ponto,0.01,aleatoria,fixo,5,1354,103,200,0.4241
knapsack_5.csv,um_ponto,0.01,aleatoria,convergencia,1,1354,103,20,0.0636
knapsack_5.csv,um_ponto,0.01,aleatoria,convergencia,2,1354,103,20,0.0741
knapsack_5.csv,um_ponto,0.01,aleatoria,convergencia,3,1354,103,20,0.0644
knapsack_5.csv,um_ponto,0.01,aleatoria,convergencia,4,1354,103,20,0.0702
knapsack_5.csv,um_ponto,0.01,aleatoria,convergencia,5,1327,90,20,0.0692
knapsack_5.csv,um_ponto,0.01,heuristica,fixo,1,1354,103,200,0.422
knapsack_5.csv,um_ponto,0.01,heuristica,fixo,2,1327,90,200,0.3966
knapsack_5.csv,um_ponto,0.01,heuristica,fixo,3,1327,90,200,0.3981
knapsack_5.csv,um_ponto,0.01,heuristica,fixo,4,1327,90,200,0.4019
knapsack_5.csv,um_ponto,0.01,heuristica,fixo,5,1354,103,200,0.3951
knapsack_5.csv,um_ponto,0.01,heuristica,convergencia,1,1327,90,20,0.0604
knapsack_5.csv,um_ponto,0.01,heuristica,convergencia,2,1327,90,20,0.0653
knapsack_5.csv,um_ponto,0.01,heuristica,convergencia,3,1327,90,20,0.0652
knapsack_5.csv,um_ponto,0.01,heuristica,convergencia,4,1327,90,20,0.0751
knapsack_5.csv,um_ponto,0.01,heuristica,convergencia,5,1354,103,40,0.1373
knapsack_5.csv,um_ponto,0.05,aleatoria,fixo,1,1354,103,200,0.4151
knapsack_5.csv,um_ponto,0.05,aleatoria,fixo,2,1354,103,200,0.3918
knapsack_5.csv,um_ponto,0.05,aleatoria,fixo,3,1354,103,200,0.395
knapsack_5.csv,um_ponto,0.05,aleatoria,fixo,4,1354,103,200,0.3989
knapsack_5.csv,um_ponto,0.05,aleatoria,fixo,5,1354,103,200,0.3932
knapsack_5.csv,um_ponto,0.05,aleatoria,convergencia,1,1354,103,24,0.0758
knapsack_5.csv,um_ponto,0.05,aleatoria,convergencia,2,1354,103,20,0.0671
knapsack_5.csv,um_ponto,0.05,aleatoria,convergencia,3,1327,90,20,0.0695
knapsack_5.csv,um_ponto,0.05,aleatoria,convergencia,4,1354,103,20,0.073
knapsack_5.csv,um_ponto,0.05,aleatoria,convergencia,5,1354,103,24,0.0832
knapsack_5.csv,um_ponto,0.05,heuristica,fixo,1,1354,103,200,0.4326
knapsack_5.csv,um_ponto,0.05,heuristica,fixo,2,1354,103,200,0.3912
knapsack_5.csv,um_ponto,0.05,heuristica,fixo,3,1354,103,200,0.3947
knapsack_5.csv,um_ponto,0.05,heuristica,fixo,4,1354,103,200,0.3974
knapsack_5.csv,um_ponto,0.05,heuristica,fixo,5,1354,103,200,0.4007
knapsack_5.csv,um_ponto,0.05,heuristica,convergencia,1,1354,103,24,0.0682
knapsack_5.csv,um_ponto,0.05,heuristica,convergencia,2,1354,103,22,0.0757
knapsack_5.csv,um_ponto,0.05,heuristica,convergencia,3,1354,103,30,0.0993
knapsack_5.csv,um_ponto,0.05,heuristica,convergencia,4,1354,103,25,0.0874
knapsack_5.csv,um_ponto,0.05,heuristica,convergencia,5,1354,103,29,0.0997
knapsack_5.csv,um_ponto,0.1,aleatoria,fixo,1,1354,103,200,0.4029
knapsack_5.csv,um_ponto,0.1,aleatoria,fixo,2,1354,103,200,0.3814
knapsack_5.csv,um_ponto,0.1,aleatoria,fixo,3,1354,103,200,0.3891
knapsack_5.csv,um_ponto,0.1,aleatoria,fixo,4,1354,103,200,0.4692
knapsack_5.csv,um_ponto,0.1,aleatoria,fixo,5,1354,103,200,0.3838
knapsack_5.csv,um_ponto,0.1,aleatoria,convergencia,1,1354,103,20,0.0595
knapsack_5.csv,um_ponto,0.1,aleatoria,convergencia,2,1354,103,20,0.0632
knapsack_5.csv,um_ponto,0.1,aleatoria,convergencia,3,1354,103,20,0.0673
knapsack_5.csv,um_ponto,0.1,aleatoria,convergencia,4,1354,103,20,0.0653
knapsack_5.csv,um_ponto,0.1,aleatoria,convergencia,5,1354,103,21,0.0678
knapsack_5.csv,um_ponto,0.1,heuristica,fixo,1,1354,103,200,0.4015
knapsack_5.csv,um_ponto,0.1,heuristica,fixo,2,1354,103,200,0.3779
knapsack_5.csv,um_ponto,0.1,heuristica,fixo,3,1354,103,200,0.3914
knapsack_5.csv,um_ponto,0.1,heuristica,fixo,4,1354,103,200,0.384
knapsack_5.csv,um_ponto,0.1,heuristica,fixo,5,1354,103,200,0.3857
knapsack_5.csv,um_ponto,0.1,heuristica,convergencia,1,1354,103,21,0.0624
knapsack_5.csv,um_ponto,0.1,heuristica,convergencia,2,1354,103,26,0.0865
knapsack_5.csv,um_ponto,0.1,heuristica,convergencia,3,1354,103,29,0.0959
knapsack_5.csv,um_ponto,0.1,heuristica,convergencia,4,1354,103,21,0.065
knapsack_5.csv,um_ponto,0.1,heuristica,convergencia,5,1354,103,21,0.0601
knapsack_5.csv,dois_pontos,0.01,aleatoria,fixo,1,1354,103,200,0.4712
knapsack_5.csv,dois_pontos,0.01,aleatoria,fixo,2,1354,103,200,0.4585
knapsack_5.csv,dois_pontos,0.01,aleatoria,fixo,3,1354,103,200,0.4463
knapsack_5.csv,dois_pontos,0.01,aleatoria,fixo,4,1354,103,200,0.4555
knapsack_5.csv,dois_pontos,0.01,aleatoria,fixo,5,1354,103,200,0.4547
knapsack_5.csv,dois_pontos,0.01,aleatoria,convergencia,1,1354,103,21,0.0767
knapsack_5.csv,dois_pontos,0.01,aleatoria,convergencia,2,1354,103,20,0.0726
knapsack_5.csv,dois_pontos,0.01,aleatoria,convergencia,3,1327,90,20,0.0807
knapsack_5.csv,dois_pontos,0.01,aleatoria,convergencia,4,1354,103,20,0.0773
knapsack_5.csv,dois_pontos,0.01,aleatoria,convergencia,5,1354,103,20,0.0752
knapsack_5.csv,dois_pontos,0.01,heuristica,fixo,1,1354,103,200,0.4784
knapsack_5.csv,dois_pontos,0.01,heuristica,fixo,2,1354,103,200,0.4517
knapsack_5.csv,dois_pontos,0.01,heuristica,fixo,3,1354,103,200,0.4491
knapsack_5.csv,dois_pontos,0.01,heuristica,fixo,4,1354,103,200,0.4459
knapsack_5.csv,dois_pontos,0.01,heuristica,fixo,5,1354,103,200,0.4488
knapsack_5.csv,dois_pontos,0.01,heuristica,convergencia,1,1354,103,22,0.0795
knapsack_5.csv,dois_pontos,0.01,heuristica,convergencia,2,1327,90,20,0.079
knapsack_5.csv,dois_pontos,0.01,heuristica,convergencia,3,1354,103,31,0.1103
knapsack_5.csv,dois_pontos,0.01,heuristica,convergencia,4,1327,90,20,0.0695
knapsack_5.csv,dois_pontos,0.01,heuristica,convergencia,5,1327,90,20,0.0784
knapsack_5.csv,dois_pontos,0.05,aleatoria,fixo,1,1354,103,200,0.467
knapsack_5.csv,dois_pontos,0.05,aleatoria,fixo,2,1354,103,200,0.4422
knapsack_5.csv,dois_pontos,0.05,aleatoria,fixo,3,1354,103,200,0.4472
knapsack_5.csv,dois_pontos,0.05,aleatoria,fixo,4,1354,103,200,0.4631
knapsack_5.csv,dois_pontos,0.05,aleatoria,fixo,5,1354,103,200,0.5499
knapsack_5.csv,dois_pontos,0.05,aleatoria,convergencia,1,1354,103,20,0.0706
knapsack_5.csv,dois_pontos,0.05,aleatoria,convergencia,2,1354,103,23,0.0901
knapsack_5.csv,dois_pontos,0.05,aleatoria,convergencia,3,1354,103,20,0.0679
knapsack_5.csv,dois_pontos,0.05,aleatoria,convergencia,4,1354,103,20,0.0792
knapsack_5.csv,dois_pontos,0.05,aleatoria,convergencia,5,1354,103,20,0.0789
knapsack_5.csv,dois_pontos,0.05,heuristica,fixo,1,1354,103,200,0.4729
knapsack_5.csv,dois_pontos,0.05,heuristica,fixo,2,1354,103,200,0.4463
knapsack_5.csv,dois_pontos,0.05,heuristica,fixo,3,1354,103,200,0.4466
knapsack_5.csv,dois_pontos,0.05,heuristica,fixo,4,1354,103,200,0.4421
